  step    steps_total    steps_local    running_reward    loss
   180          53287            475            -180.5  1.98673
   181          53399            112            -489.7  2.31450
   182          53518            119            -486.5  1.94446
   183          53612             94            -519.5  1.88380
   184          54134            522            -260.0  2.23088
   185          54375            241            -310.7  1.59913
   186          54540            165            -313.9  1.75191
   187          54719            179            -401.4  1.81737
   188          54855            136            -545.2  2.58460
   189          55117            262            -204.0  2.05440
   190          55342            225            -464.4  2.20004
   191          55942            600              93.8  2.06742
   192          56395            453            -223.1  2.26096
   193          56669            274            -357.0  2.76448
   194          57269            600             194.1  2.07498
   195          57835            566             717.4  2.58259
   196          57959            124            -462.0  1.88370
   197          58069            110            -493.8  2.30603
   198          58530            461             -49.5  2.25299
   199          58686            156            -413.8  2.06249
   200          59286            600             437.4  2.49403
   201          59886            600            -195.2  2.21046
   202          59991            105            -482.3  2.39962
   203          60190            199            -444.3  2.27587
   204          60340            150            -388.2  2.64915
   205          60940            600             183.3  2.30706
   206          61136            196            -404.1  1.99682
   207          61258            122            -494.8  2.85651
   208          61518            260            -245.1  3.02344
   209          62118            600             121.0  2.66899
   210          62693            575            -164.7  2.67093
   211          63056            363            -279.1  2.75763
   212          63656            600             121.3  2.67917
   213          64256            600             298.3  2.61972
   214          64504            248            -427.3  2.15622
   215          64691            187            -304.7  2.73736
   216          65291            600            -269.8  2.77232
   217          65850            559            -344.8  2.76364
   218          66074            224            -275.2  2.16139
   219          66674            600             244.2  2.68941
   220          67274            600            -317.0  2.54803
   221          67544            270            -256.5  2.35174
   222          67691            147            -415.9  2.64279
   223          68006            315            -401.4  2.62130
   224          68205            199            -352.5  3.15797
   225          68489            284             -60.7  2.39332
   226          68866            377             -53.5  2.32027
   227          69466            600             677.8  2.51427
   228          70066            600            -202.4  2.56790
   229          70666            600             790.0  2.46400
   230          70930            264            -450.4  2.30871
   231          71138            208            -297.8  2.70611
   232          71215             77            -508.4  2.63948
   233          71655            440            -454.0  2.40378
   234          72255            600            -450.4  3.45451
   235          72621            366            -194.0  3.53109
   236          72994            373            -545.1  2.70962
   237          73151            157            -320.5  3.01049
   238          73386            235             -81.6  2.92259
   239          73603            217            -262.0  2.27739
   240          73865            262            -144.1  2.64639
   241          74359            494              92.7  2.83224
   242          74959            600              76.3  2.45683
   243          75559            600            -470.5  2.52756
   244          75724            165            -499.7  3.06569
   245          76215            491             -47.7  2.90953
   246          76725            510            -205.0  2.75541
   247          77325            600             300.2  2.67938
   248          77852            527            -317.3  2.62336
   249          78446            594             -43.5  2.98673
   250          78551            105            -454.0  2.70443
   251          78982            431            -541.2  2.31601
   252          79406            424             -12.8  2.89948
   253          80006            600            -569.8  2.87528
   254          80268            262            -237.3  3.29778
   255          80482            214            -389.7  2.61396
   256          80626            144            -506.7  2.86676
   257          80753            127            -412.7  3.21986
   258          81353            600            -106.8  2.64323
   259          81953            600             345.1  3.46009
   260          82325            372             -80.5  2.55429
   261          82925            600            -147.7  2.74286
   262          83525            600             371.9  3.08956
   263          84125            600            -116.6  3.24023
   264          84725            600             257.0  2.60894
   265          85315            590            -503.2  2.48109
   266          85564            249            -175.4  2.32845
   267          86164            600             167.4  2.70930
   268          86355            191            -467.5  2.62539
   269          86955            600             520.2  2.34176
   270          87555            600            -450.4  3.05347
   271          88155            600               8.1  2.54472
   272          88374            219            -323.3  2.55389
   273          88974            600           -1032.2  2.40146
   274          89268            294             -46.8  2.32643
   275          89868            600            -124.8  2.99560
   276          90055            187            -297.5  2.95098
   277          90655            600             265.0  3.08410
   278          91255            600            -387.0  3.21740
   279          91627            372              33.9  2.75947
   280          91783            156            -400.2  2.79946
   281          92383            600             196.4  2.77872
   282          92605            222            -303.8  2.75190
   283          93205            600             -99.2  2.76073
   284          93576            371            -239.0  2.56006
   285          93919            343            -151.1  3.00673
   286          94519            600            -198.0  2.59467
   287          94780            261            -316.7  2.59186
   288          95014            234            -284.4  2.78400
   289          95614            600            -291.5  2.68491
   290          96214            600            -108.8  2.62189
   291          96558            344            -435.8  2.63233
   292          97158            600            -237.7  3.03549
   293          97758            600             -78.7  3.11084
   294          98308            550             -59.4  2.96393
   295          98908            600               0.3  2.68052
   296          99196            288            -310.8  2.49559
   297          99796            600            -138.1  2.51726
   298         100185            389            -272.0  2.93367
   299         100414            229            -303.3  2.53598
   300         101014            600             -31.9  3.08542
   301         101550            536            -857.7  2.78964
   302         102150            600             332.0  2.45786
   303         102608            458            -716.6  2.48761
   304         103208            600             285.2  2.65732
   305         103461            253            -161.2  2.49721
   306         104061            600             316.9  2.43977
   307         104661            600             683.2  2.45121
   308         105261            600             114.5  2.37372
   309         105709            448            -346.9  2.26311
   310         105969            260            -101.6  2.87493
   311         106193            224            -259.0  2.81740
   312         106793            600              38.3  2.70835
   313         107393            600             392.3  2.90480
   314         107993            600             155.5  3.01390
   315         108316            323            -360.7  2.37947
   316         108916            600             399.3  2.89320
   317         109516            600             372.6  2.96471
   318         110116            600             -45.9  2.59128
   319         110716            600              -6.4  2.66328
   320         110833            117            -425.0  2.43111
   321         111433            600             -72.9  2.14201
   322         112033            600            -259.3  2.85604
   323         112633            600             -87.7  2.67810
   324         113233            600             181.9  2.69688
   325         113467            234            -318.8  2.53283
   326         114067            600             126.9  2.52961
   327         114667            600             -62.3  2.48102
   328         115267            600            -168.1  2.93196
   329         115867            600              27.5  2.53642
   330         116467            600            -153.0  2.11031
   331         117067            600             171.7  2.37185
   332         117667            600             729.2  2.75081
   333         118267            600             252.1  2.04647
   334         118592            325             153.6  2.08722
   335         119192            600              56.2  2.54873
   336         119792            600              77.6  2.48424
   337         120392            600             149.1  2.11030
   338         120992            600             360.4  2.28896
   339         121592            600              15.3  2.89548
   340         122192            600             502.2  2.38795
   341         122468            276            -333.1  2.10849
   342         123068            600            -158.7  2.23788
   343         123668            600             185.4  2.91601
   344         124268            600             162.4  2.93067
   345         124868            600             592.5  2.54869
   346         125468            600            1050.9  2.13110
   347         126068            600              24.8  2.49474
   348         126668            600            -189.7  2.57510
   349         127268            600            -115.5  2.79807
   350         127868            600             -43.6  2.19911
   351         128468            600             849.6  2.09668
   352         128897            429            -259.3  2.06409
   353         129497            600             503.4  2.05416
   354         130097            600             -87.5  2.83633
   355         130697            600             571.6  2.83579
   356         130991            294             -73.6  2.07168
   357         131591            600             475.2  2.33012
   358         131871            280            -399.5  2.24761
   359         132471            600            -150.1  2.14423
   360         133071            600            -110.8  2.37961
   361         133671            600             151.2  2.03398
   362         134271            600             503.1  2.11925
   363         134871            600             312.3  1.82198
   364         135471            600             638.7  2.24263
   365         135881            410            -254.7  2.22902
   366         136481            600             183.5  2.51158
   367         137081            600             557.6  2.29161
   368         137681            600               8.6  2.30668
   369         138281            600             283.0  2.03425
   370         138881            600             -53.1  1.94338
   371         139481            600             561.9  2.65113
   372         139954            473            -387.4  1.86640
   373         140554            600            -166.0  2.25550
   374         141154            600              57.7  2.19985
   375         141754            600              61.0  2.14909
   376         142354            600             334.8  1.99568
   377         142954            600             249.4  2.44610
   378         143554            600             -85.8  2.43815
   379         144154            600             856.4  2.22903
   380         144754            600             212.7  2.28817
   381         145354            600             348.8  2.13888
   382         145645            291            -126.8  2.20539
   383         146245            600              38.8  2.17563
   384         146590            345            -100.8  2.06061
   385         147190            600             334.6  2.09956
   386         147790            600             317.1  2.15168
   387         148390            600             -47.1  2.30190
   388         148990            600             571.9  2.12933
   389         149590            600             274.9  2.59068
   390         150190            600              48.2  2.20160
   391         150790            600             653.9  2.20279
   392         151091            301               9.9  2.15936
   393         151691            600             715.9  2.55001
   394         152291            600             135.9  2.18185
   395         152891            600             456.0  2.25227
   396         153491            600             516.4  1.96982
   397         154091            600             419.2  2.02002
   398         154406            315            -111.7  2.06476
   399         154973            567               8.9  2.12418
   400         155573            600             843.5  2.76844
   401         156173            600            -403.6  2.17265
   402         156773            600              48.1  1.96281
   403         157373            600             172.7  2.32191
   404         157973            600             -72.0  2.26534
   405         158573            600             470.5  2.07539
   406         159173            600             464.0  2.24861
   407         159773            600            -171.1  2.70034
   408         160373            600             119.9  2.15165
   409         160973            600              87.8  1.96226
   410         161573            600             683.0  2.12818
   411         162173            600             943.6  2.10994
   412         162773            600             802.3  2.26823
   413         163373            600             166.5  1.78133
   414         163973            600             163.5  2.08478
   415         164573            600             607.2  2.05110
   416         165173            600             139.1  2.12914
   417         165773            600             483.9  2.11481
   418         166373            600             211.6  2.12207
   419         166973            600             593.4  2.36798
   420         167573            600             659.5  2.47642
   421         168173            600             226.8  2.55563
   422         168773            600             -34.9  2.24906
   423         169373            600              72.1  2.04913
   424         169973            600             554.2  2.78626
   425         170573            600              61.9  2.03131
   426         171173            600             443.2  2.14554
   427         171773            600            -146.5  3.16085
   428         172373            600             111.0  2.39344
   429         172973            600             373.1  1.97909
   430         173573            600             296.6  1.97283
   431         174173            600             202.6  2.09207
   432         174773            600             235.3  2.01989
   433         175373            600             140.0  1.95201
   434         175973            600             777.6  1.85259
   435         176573            600            1075.1  2.02070
   436         177173            600              87.1  1.97944
   437         177773            600             404.7  2.13129
   438         178373            600              50.7  2.24968
   439         178973            600             243.2  2.06976
   440         179573            600             330.4  1.86753
   441         180173            600              52.7  2.25723
   442         180773            600             364.2  2.37168
   443         181373            600             603.5  2.07811
   444         181973            600             311.5  2.04876
   445         182573            600             905.4  2.19358
   446         183173            600             -68.9  2.03107
   447         183773            600              -2.8  2.20217
   448         184373            600             353.5  2.30806
   449         184973            600            -123.4  2.01009
   450         185573            600             319.9  2.21116
   451         186173            600             443.9  1.94225
   452         186499            326            -186.7  2.23693
   453         187099            600             239.4  1.75036
   454         187699            600             159.4  2.10817
   455         188299            600             227.1  2.53920
   456         188899            600             383.8  2.04497
   457         189499            600             416.2  1.77823
   458         190099            600             335.7  1.73588
   459         190699            600             777.8  1.69165
   460         191299            600             157.8  2.24709
   461         191899            600             319.2  1.71205
   462         192499            600             381.9  2.22181
   463         193099            600             100.1  2.28873
   464         193699            600             234.7  1.87486
   465         194299            600             577.2  2.16690
   466         194899            600              42.5  2.40805
   467         195499            600             712.5  2.22403
   468         196099            600             883.0  1.92687
   469         196699            600            1090.9  1.89346
   470         197299            600             378.6  2.23317
   471         197899            600             450.0  1.90541
   472         198499            600             284.0  1.92182
   473         199099            600             326.2  2.08380
   474         199699            600             284.8  2.02025
   475         200299            600             491.3  1.95805
   476         200899            600             452.6  2.40557
   477         201499            600             505.3  1.85730
   478         202099            600             839.5  1.82562
   479         202699            600             523.9  1.81517
   480         203299            600            1030.2  2.01615
   481         203899            600             194.1  1.83734
   482         204499            600             584.1  1.84946
   483         205099            600              48.8  1.90765
   484         205699            600             308.3  1.56596
   485         206299            600             235.1  2.17622
   486         206899            600              49.8  1.71018
   487         207499            600              64.1  1.45461
   488         208099            600             358.0  1.81032
   489         208699            600              33.4  1.76935
   490         209299            600             430.8  1.98663
   491         209899            600             693.0  1.90373
   492         210499            600              -8.3  1.86109
   493         211099            600             509.8  1.65041
   494         211699            600             282.1  2.40689
   495         212299            600             254.0  2.00693
   496         212899            600             660.0  1.68839
   497         213499            600             -36.0  2.24250
   498         214099            600             471.2  2.17452
   499         214699            600             484.3  2.02736
   500         215299            600            -219.6  2.07577
   501         215899            600             400.1  1.80586
   502         216499            600              44.5  1.73494
   503         217099            600             135.7  1.80601
   504         217699            600             328.7  1.62643
   505         218299            600             172.6  2.16812
   506         218899            600             725.5  1.96274
   507         219499            600             302.4  1.63477
   508         220099            600               7.1  2.26708
   509         220699            600              73.1  1.89497
   510         221299            600              17.2  1.68041
   511         221899            600             284.7  2.05031
   512         222499            600             306.1  1.67475
   513         223099            600             265.7  1.82588
   514         223699            600              48.6  1.84038
   515         224299            600             579.0  1.98761
   516         224899            600             429.5  1.82823
   517         225499            600             797.6  1.64778
   518         226099            600             434.6  1.69209
   519         226699            600             540.8  1.82427
   520         227299            600             479.0  1.83938
   521         227899            600             562.7  2.01058
